MODALIDADE, TAXAS MÉDIAS (% a.m.)
AQUISIÇÃO DE OUTROS BENS - PREFIXADO,3.48
AQUISIÇÃO DE VEÍCULOS - PREFIXADO,1.86
CARTÃO DE CRÉDITO - PARCELADO - PREFIXADO, 8.78
CARTÃO DE CRÉDITO - ROTATIVO TOTAL - PREFIXADO,14.92
CHEQUE ESPECIAL - PREFIXADO,6.77
CRÉDITO PESSOAL CONSIGNADO INSS - PREFIXADO,1.76
CRÉDITO PESSOAL CONSIGNADO PRIVADO - PREFIXADO,3.49
CRÉDITO PESSOAL CONSIGNADO PÚBLICO - PREFIXADO,2.24
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO,7.18
DESCONTO DE CHEQUES - PREFIXADO,4.96
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM IPCA,0.95
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,0.95
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PREFIXADO,1.24
FINANCIAMENTO IMOBILIÁRIO COM TAXAS REGULADAS - PÓS-FIXADO REFERENCIADO EM IPCA,0.62
FINANCIAMENTO IMOBILIÁRIO COM TAXAS REGULADAS - PÓS-FIXADO REFERENCIADO EM TR,0.83
FINANCIAMENTO IMOBILIÁRIO COM TAXAS REGULADAS - PREFIXADO,1.00
