MODALIDADE,POSIÇÃO,INSTITUIÇÃO FINANCEIRA,TAXAS MÉDIAS (% a.a.),TAXAS MÉDIAS (% a.m.)
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM IPCA,1,BCO RODOBENS S.A.,0.00,0.00
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM IPCA,2,OXY CH,13.33,1.05
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM IPCA,3,BCO DAYCOVAL S.A,14.03,1.1
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM IPCA,4,BANCO BARI S.A.,16.24,1.26
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM IPCA,5,BARI CIA HIPOTECÁRIA,16.98,1.32
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,1,BANCO BARI S.A.,8.59,0.69
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,2,BCO DO ESTADO DO RS S.A.,9.37,0.75
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,3,BCO BANESTES S.A.,10.74,0.85
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,4,BANCO SICOOB S.A.,10.84,0.86
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,5,BCO DO EST. DE SE S.A.,10.97,0.87
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,6,BANCO COOPERATIVO SICREDI,11.13,0.88
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,7,ITAÚ UNIBANCO S.A.,12.01,0.95
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,8,CAIXA ECONOMICA FEDERAL,12.12,0.96
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,9,BCO SANTANDER (BRASIL) S.A.,12.29,0.97
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,10,BCO BRADESCO S.A.,12.29,0.97
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,11,BANCO INTER,12.5,0.99
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,12,BCO DO BRASIL S.A.,14.42,1.13
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PÓS-FIXADO REFERENCIADO EM TR,13,BCO DO EST. DO PA S.A.,18.91,1.45
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PREFIXADO,1,BCO SANTANDER (BRASIL) S.A.,14.61,1.14
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PREFIXADO,2,BCO XP S.A.,"15,00",1.17
FINANCIAMENTO IMOBILIÁRIO COM TAXAS DE MERCADO - PREFIXADO,3,APE POUPEX,18.15,1.4
