MODALIDADE;POSIÇÃO;INSTITUIÇÃO FINANCEIRA;TAXAS MÉDIAS (% a.a.);TAXAS MÉDIAS (% a.m.)
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;1;SINOSSERRA S/A - SCFI;2,43;0,2
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;2;DEUTSCHE SPARKASSEN LEASING DO BRASIL BM S.A.;6,43;0,52
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;3;BCO KOMATSU S.A.;10,83;0,86
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;4;BCO VOLVO BRASIL S.A.;15,25;1,19
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;5;BANCO CNH INDUSTRIAL CAPITAL S.A;17,05;1,32
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;6;BANCO TRATON BRASIL S.A.;18,59;1,43
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;7;BCO CATERPILLAR S.A.;19,54;1,5
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;8;BANCO SANY BRASIL S.A.;19,89;1,52
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;9;BCO DE LAGE LANDEN BRASIL S.A.;21,06;1,61
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;10;BCO DO EST. DO PA S.A.;22,04;1,67
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;11;BCO ARBI S.A.;25,06;1,88
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;12;PORTOSEG S.A. CFI;26,16;1,96
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;13;BANCO SICOOB S.A.;27,71;2,06
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;14;BCO BRADESCO S.A.;28,1;2,09
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;15;SANTANDER SCFI S.A.;28,61;2,12
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;16;BCO BANESTES S.A.;29,9;2,2
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;17;BCO BV S.A.;30,55;2,25
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;18;SOLFÁCIL SCFI;30,72;2,26
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;19;BCO DO ESTADO DO RS S.A.;30,82;2,26
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;20;TODESCREDI S/A - CFI;32,77;2,39
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;21;BECKER FINANCEIRA SA - CFI;33,49;2,44
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;22;BARU SCFI S/A;35,23;2,55
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;23;BCO BRADESCO FINANC. S.A.;38,41;2,75
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;24;BCO SOFISA S.A.;42,47;2,99
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;25;BCO DO BRASIL S.A.;43,84;3,08
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;26;BCO RENDIMENTO S.A.;49,63;3,42
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;27;HS FINANCEIRA;52,34;3,57
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;28;LEBES FINANCEIRA S.A. - CFI;57,75;3,87
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;29;CENTROCRED S.A. CFI;73,98;4,72
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;30;KREDILIG S.A. - CFI;74,6;4,75
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;31;CREDIARE CFI S.A.;85,99;5,31
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;32;GRAZZIOTIN FINANCEIRA S/A;89,82;5,49
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;33;VIA CERTA FINANCIADORA S.A. - CFI;105,01;6,17
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;34;AGORACRED S/A SCFI;109,68;6,36
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;35;NEGRESCO S.A. - CFI;112,04;6,46
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;36;BANCO SEMEAR;116,91;6,67
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;37;ZEMA CFI S/A;134,25;7,35
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;38;MERCADO CRÉDITO SCFI S.A.;137,51;7,48
AQUISIÇÃO DE OUTROS BENS - PREFIXADO;39;MAGALUPAY SCFI S.A.;139,69;7,56
